time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2046,1530.421366013044,6964.555402475893,2189.5510094480587,4352.626764759136,2566.4760031583446
2047,1540.5175195203478,7036.638244824696,2200.279270901301,4367.19628592229,2556.4906088970915
2048,1550.3291536956303,7109.270958342011,2210.51318589613,4379.711870030958,2545.0580857885043
2049,1559.9615551471325,7183.066948814185,2220.389412719615,4390.393088423146,2532.2439073622154
2050,1569.5188421759692,7258.623398634553,2230.043561702364,4399.463398084939,2518.1178938443413
2051,1579.0881529723003,7336.426869363902,2239.589867333374,4407.11857987778,2502.7460417820757
2052,1588.6914371846876,7416.557655654747,2249.0595692630436,4413.435817278732,2486.1696692207274
2053,1598.3311378462042,7498.951162852621,2258.460160997846,4418.472562676979,2468.434893842638
2054,1608.0064392054187,7583.498566093828,2267.7961116494002,4422.296491704803,2449.599138944853
2055,1617.7141995141521,7670.058998961133,2277.0697631455287,4424.982882307844,2429.7281942331815
2056,1627.451237303333,7758.480733903353,2286.283926004254,4426.614078240312,2408.8935053919577
2057,1637.2189388785478,7848.637180844948,2295.447415557414,4427.282935482333,2387.17016711818
2058,1647.0197938008994,7940.410981079039,2304.570380634191,4427.082670726268,2364.6326674601696
2059,1656.856615047162,8033.693119014154,2313.6631300309846,4426.10275221517,2341.352542648749
2060,1666.732911710026,8128.388027242492,2322.7364814055977,4424.427691787751,2317.3970872627833
2061,1676.629001331889,8224.259417377345,2331.771580902442,4422.097186305468,2292.822998492728
2062,1686.4299372189578,8320.45688618312,2340.629218278809,4418.9914429019445,2267.6614482240757
2063,1695.9984570214972,8415.987465031307,2349.1419645485694,4414.952386534925,2241.937140567219
2064,1705.1995776970748,8509.877775807021,2357.145092756997,4409.822377423255,2215.673102641514
2065,1713.9008627859128,8601.177237134792,2364.4768495976327,4403.443651815354,2188.8899981726354
2066,1721.994154865934,8689.102362894273,2371.0057311322175,4395.691845723161,2161.6098360145306
2067,1729.4599483003205,8773.463805437044,2376.711289024942,4386.57555390651,2133.8671330094917
2068,1736.3015895847027,8854.232627236946,2381.60140883986,4376.132677285573,2105.6960801643922
2069,1742.5232687527787,8931.393452554235,2385.684723260371,4364.396954328659,2077.127172267029
2070,1748.1297648153163,9004.94132695805,2388.970359843965,4351.398548930952,2048.187919722873
2071,1753.1452588281632,9075.005455249451,2391.4916057635137,4337.193868404707,2018.906663648738
2072,1757.669604397107,9142.222487756015,2393.376542736458,4321.952597916182,1989.3223321780872
2073,1761.8198287571736,9207.347406417543,2394.7746628092887,4305.8679263842205,1959.4748394712813
2074,1765.7106221533877,9271.122822315905,2395.832434972221,4289.127231752349,1929.4023594210512
2075,1769.4540376815855,9334.276063949,2396.6929694641467,4271.912241376804,1899.1417445333987
2076,1773.1279807732087,9397.308687914952,2397.4565286067486,4254.351281529223,1868.7238082776073
2077,1776.6838054848424,9459.880462433024,2398.0646717267678,4236.37840912586,1838.1588631311272
2078,1780.0425862733568,9521.449551670488,2398.4210291062377,4217.88127977443,1807.4525994463697
2079,1783.1268399675246,9581.483549093306,2398.431090960671,4198.749813604922,1776.6112580698812
2080,1785.860648112274,9639.460200635656,2398.0023610329126,4178.876450046799,1745.6416759218396
2081,1788.1916862070211,9695.014078607675,2397.0719799607077,4158.189864203974,1714.5548021188322
2082,1790.1560634071243,9748.368550248939,2395.6880271862915,4136.754020426072,1683.3759595025338
2083,1791.8108182232781,9799.886060008428,2393.924866037261,4114.665062896905,1652.1340974969826
2084,1793.2117226918356,9849.92015009055,2391.8553088599247,4092.0174935424,1620.8582894552567
2085,1794.4132649189382,9898.815253080611,2389.55059178105,4068.9042176169196,1589.5777370929748
