time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2063,2408.756020895671,5075.744113288689,6126.245107784002,8870.411574220747,1820.1249184522526
2064,2415.5243295421456,5036.666027060748,6212.241143281765,8911.66152834409,1793.412836298611
2065,2422.8853009334925,4997.240178055407,6298.142962125687,8952.760728260586,1766.5303232528795
2066,2429.810001887394,4957.4909416436,6383.657430297093,8993.649076460588,1739.4921353511868
2067,2436.004217981853,4917.449657594966,6470.657471385093,9034.360776089454,1712.3158280190537
2068,2442.4917701919594,4877.151202016056,6559.995361733423,9074.953382520122,1685.0199424142397
2069,2448.6612431760277,4836.6301644065725,6646.876155787943,9115.484048497163,1657.623416932665
2070,2454.779637941184,4795.9208645485705,6732.869331971107,9156.009327510557,1630.1456019637403
2071,2460.600904402043,4755.055355498608,6821.2722309249175,9196.572845221857,1602.6059524977654
2072,2466.136825332601,4714.0573197831545,6910.0230452173055,9237.168006066719,1575.0230681994449
2073,2472.4453488681397,4672.94774340143,6997.308765817619,9277.772826653645,1547.4155880016049
2074,2479.5929669032175,4631.746749002662,7086.1049533565165,9318.361482299837,1519.8024727514016
2075,2485.903761427573,4590.4734285498835,7173.363282572804,9358.903762170175,1492.2029665465088
2076,2492.1839736927036,4549.143880649778,7261.242091991934,9399.353665284285,1464.6362689754349
2077,2498.82660376489,4507.778255281786,7350.841266613776,9439.617590540303,1437.1206721421477
2078,2505.4183649882034,4466.41071727747,7437.0755329953545,9479.587993764402,1409.6743766019367
2079,2511.5587731259093,4425.002833865098,7522.616989059961,9519.154317705825,1382.3157110514242
2080,2518.182598696477,4383.556574767463,7608.142834693666,9558.202941604648,1355.0630592478012
2081,2523.6366218535904,4342.078989056994,7693.748530279102,9596.658567331468,1327.9358454962376
2082,2530.5993362815793,4300.602322974614,7778.136137609067,9634.608487601081,1300.9576466961753
2083,2537.972873739454,4259.163418428599,7861.168033301571,9672.177955205387,1274.1528802473822
2084,2543.7487805956766,4217.79665475017,7943.757338020721,9709.488399771908,1247.545619797198
2085,2550.762274799943,4176.53366259665,8026.1423157690615,9746.657093789738,1221.159471826873
2086,2557.7162698808365,4135.397619661433,8110.589059431238,9783.76370637508,1195.0165924144796
