Year,Year,US_pop_SSP1,US_pop_SSP2,US_pop_SSP3,US_pop_SSP4,US_pop_SSP5,US_gdp_SSP1,US_gdp_SSP2,US_gdp_SSP3,US_gdp_SSP4,US_gdp_SSP5,FA_SSP1,FA_SSP2,FA_SSP3,FA_SSP4,FA_SSP5
1955.0,1955.0,168684513.64454085,168684513.6132555,168684513.45115158,168684513.55709264,168684513.784638,15111.9,15111.9,15111.9,15111.9,15111.9,19.663361250360598,19.664953851564928,19.66206039219843,19.663941598640438,19.667552744426764
1956.0,1956.0,172393295.7394613,172393295.70595938,172393295.53237048,172393295.6458174,172393295.88948423,15136.260000000002,15136.260000000002,15136.260000000002,15136.260000000002,15136.260000000002,19.663833880547745,19.6654265200372,19.662532991150375,19.664414242791505,19.668025475337583
1957.0,1957.0,176062612.0426429,176062612.01029423,176062611.84268093,176062611.9522226,176062612.1875015,15144.09,15144.09,15144.09,15144.09,15144.09,19.655682429942903,19.65727440921293,19.65438207977791,19.656262551585677,19.659872287175986
1958.0,1958.0,179641685.93391028,179641685.90695167,179641685.76726687,179641685.85855618,179641686.05463183,14742.149999999998,14742.149999999998,14742.149999999998,14742.149999999998,14742.149999999998,19.42313540367908,19.42470854817031,19.421850437878472,19.42370866182876,19.42727569066109
1959.0,1959.0,183079740.79308784,183079740.77662313,183079740.691312,183079740.74706605,183079740.86681736,15573.870000000003,15573.870000000003,15573.870000000003,15573.870000000003,15573.870000000003,19.864761028786102,19.866369941973208,19.86344684637779,19.865347321059144,19.868995454016463
1960.0,1960.0,186326000.00000003,186326000.0,186326000.00000003,186326000.00000003,186326000.0,15710.46,15710.46,15710.46,15710.46,15710.46,19.927239445748853,19.928853419217365,19.925921129656896,19.9278275818713,19.931487189285345
1961.0,1961.0,189342085.49811596,189342085.51980057,189342085.6321587,189342085.55872843,189342085.40101123,15812.250000000002,15812.250000000002,15812.250000000002,15812.250000000002,15812.250000000002,19.97174131526501,19.97335889301948,19.970420054661712,19.972330764631817,19.97599854524611
1962.0,1962.0,192139213.48548248,192139213.5268495,192139213.74119112,192139213.60111076,192139213.30023926,16509.990000000005,16509.990000000005,16509.990000000005,16509.990000000005,16509.990000000005,20.328305772434206,20.329952229468518,20.32696092239277,20.328905745333206,20.332639008927234
1963.0,1963.0,194740998.7237911,194740998.77399817,194740999.0341442,194740998.86412895,194740998.49896175,16978.050000000003,16978.050000000003,16978.050000000003,16978.050000000003,16978.050000000003,20.560097141337053,20.561762371898336,20.558736956622344,20.560703955290634,20.564479787220986
1964.0,1964.0,197171055.97473308,197171056.01409784,197171056.2180648,197171056.08476472,197171055.7984561,17713.200000000004,17713.200000000004,17713.200000000004,17713.200000000004,17713.200000000004,20.92162727573104,20.923321787855297,20.920243173662257,20.922244760044144,20.92608698619217
1965.0,1965.0,199453000.0,199453000.0,199453000.0,199453000.0,199453000.0,18609.300000000003,18609.300000000003,18609.300000000003,18609.300000000003,18609.300000000003,21.352434731438677,21.354164136218426,21.351022129438004,21.353064931030644,21.35698627340543
1966.0,1966.0,201610417.25408003,201610417.1848253,201610416.82598445,201610417.0605005,201610417.56420562,19600.230000000003,19600.230000000003,19600.230000000003,19600.230000000003,19600.230000000003,21.815757928182514,21.817524859275395,21.814314675737926,21.816401803006908,21.82040823235132
1967.0,1967.0,203666780.96264827,203666780.82277122,203666780.09800357,203666780.5716666,203666781.5890234,19872.54,19872.540000000005,19872.540000000005,19872.540000000005,19872.54,21.9358677003804,21.937644359790784,21.93441650329962,21.936515120781106,21.940543606451374
1968.0,1968.0,205645536.04417646,205645535.86830446,205645534.95703042,205645535.5525824,205645536.83173835,20612.040000000005,20612.040000000005,20612.040000000005,20612.040000000005,20612.040000000008,22.26861650214785,22.27042011211093,22.26714329231424,22.26927374369011,22.273363337306684
1969.0,1969.0,207570127.41713637,207570127.27589178,207570126.54403818,207570127.02233213,207570128.0496355,21050.520000000004,21050.520000000004,21050.520000000004,21050.520000000004,21050.520000000004,22.460087661909586,22.461906779646537,22.45860178431987,22.460750554250627,22.464875312077172
1970.0,1970.0,209464000.0,209463999.99999997,209464000.0,209464000.0,209463999.99999997,20843.460000000003,20843.460000000003,20843.460000000003,20843.460000000003,20843.460000000003,22.36093938526086,22.362750472190243,22.359460064138478,22.36159935004023,22.365705902770834
1971.0,1971.0,211349117.48556396,211349117.7408983,211349119.06390354,211349118.19926962,211349116.34216636,21223.650000000005,21223.650000000005,21223.650000000005,21223.650000000005,21223.650000000005,22.525291658754057,22.527116056304802,22.523801459616987,22.525956471973895,22.530093213689856
1972.0,1972.0,213241518.6639247,213241519.18206587,213241521.86679482,213241520.11222303,213241516.3436674,22111.050000000003,22111.05,22111.05,22111.050000000003,22111.05,22.91003673628445,22.911892294766293,22.90852107848958,22.910712902553453,22.914920308331087
1973.0,1973.0,215155761.09950343,215155761.75278425,215155765.1377343,215155762.92554158,215155758.1740851,23144.610000000004,23144.61,23144.610000000004,23144.61,23144.61,23.347606191720104,23.34949718995226,23.346061583045824,23.34829527121599,23.352583039285058
1974.0,1974.0,217106402.3567214,217106402.88233507,217106405.60578248,217106403.8259067,217106400.00300187,22869.690000000006,22869.690000000002,22869.690000000002,22869.690000000002,22869.690000000002,23.22443419639206,23.226315218954195,23.22289773906314,23.225119641797292,23.229384786315343
1975.0,1975.0,219108000.00000003,219108000.0,219108000.0,219108000.0,219108000.0,22581.720000000005,22581.720000000005,22581.720000000005,22581.720000000005,22581.720000000005,23.094799974893405,23.096670499635255,23.093272104134876,23.095481598965968,23.09972292408499
1976.0,1976.0,221170592.80366415,221170591.85158157,221170586.91840136,221170590.14242092,221170597.0671289,23541.33,23541.33,23541.33,23541.33,23541.33,23.495419369378357,23.497322344653288,23.493865013804253,23.496112825885184,23.500427702078728
