,CO2_flux,CH4_flux
84,-239524151959.6895,0.0
85,-238844595049.86917,0.0
86,-237989288208.61145,0.0
87,-236935871497.4528,0.0
88,-235658512688.9688,0.0
89,-234127498118.53964,0.0
90,-232309039123.9357,0.0
91,-230165388510.17685,0.0
92,-227655373506.7207,0.0
93,-224735464550.20013,0.0
94,-221361505738.0997,0.0
95,-217491219474.6469,0.0
96,-213087545988.87668,0.0
97,-208122768560.55865,0.0
98,-202583195881.1466,0.0
99,-196473933139.52203,0.0
100,-189823016269.03717,0.0
101,-182683991903.85364,0.0
102,-175136007224.2174,0.0
103,-167280722545.716,0.0
104,-159235895425.04047,0.0
105,-151126208806.7499,0.0
106,-143072614776.1952,0.0
107,-135181891963.30766,0.0
108,-127538103600.01337,0.0
109,-120197200174.39783,0.0
110,-113185308649.56668,0.0
111,-106500537922.98076,0.0
112,-100117611928.91684,0.0
113,-93994401519.66095,0.0
114,-88079425533.9169,0.0
115,-82319521793.98291,0.0
116,-76667037707.58516,0.0
117,-71085989439.62202,0.0
118,-65556683306.56466,0.0
119,-60078333306.76986,0.0
120,-54669320081.35587,0.0
121,-49364976565.0305,0.0
122,-44213151281.85323,0.0
123,-39268210195.63426,0.0
124,-34584456562.30182,0.0
125,-30210048604.308105,0.0
126,-26182327391.967648,0.0
127,-22525088942.153873,0.0
128,-19247879317.42327,0.0
129,-16347003453.458406,0.0
130,-13807709941.425087,0.0
131,-11606962179.923052,0.0
132,-9716289199.89966,0.0
133,-8104360917.622109,0.0
134,-6739093155.6029005,0.0
135,-5589220156.508533,0.0
136,-4625362148.862121,0.0
137,-3820664554.612404,0.0
138,-3151103242.38299,0.0
139,-2595548048.9535403,0.0
140,-2135664126.1448822,0.0
141,-1755714201.554588,0.0
142,-1442308573.607115,0.0
143,-1184135579.5070856,0.0
144,-971694058.3957903,0.0
145,-797040928.59185,0.0
146,-653561014.1017234,0.0
147,-535762193.409222,0.0
148,-439096323.39182454,0.0
149,-359804805.8402731,0.0
150,-294786792.4949265,0.0
151,-241487626.5405375,0.0
152,-197805021.33164334,0.0
153,-162010560.5968567,0.0
154,-132684287.52159515,0.0
155,-108660380.12051687,0.0
156,-88982154.03991736,0.0
157,-72864871.58939143,0.0
158,-59665056.47239115,0.0
159,-48855212.136670746,0.0
160,-40003016.24073051,0.0
161,-32754214.850269534,0.0
162,-26818569.254892666,0.0
163,-21958317.87610421,0.0
164,-17978707.985308114,0.0
165,-14720229.174347285,0.0
166,-12052244.893601334,0.0
167,-9867771.845493924,0.0
168,-8079201.320135472,0.0
169,-6614793.1745625725,0.0
170,-5415803.369829517,0.0
171,-4434130.872230675,0.0
172,-3630390.2111261645,0.0
173,-2972332.8266531653,0.0
